iter	Passed	Remaining
0	11	11741
1	19	9942
2	29	9776
3	37	9245
4	47	9371
5	55	9117
6	64	9195
7	72	8983
8	82	9135
9	92	9181
10	101	9155
11	111	9186
12	119	9094
13	129	9126
14	137	9044
15	148	9163
16	160	9256
17	168	9170
18	178	9214
19	186	9161
20	197	9221
21	206	9182
22	216	9208
23	226	9218
24	235	9193
25	245	9179
26	253	9120
27	262	9108
28	270	9044
29	280	9070
30	290	9075
31	298	9044
32	309	9057
33	316	9005
34	326	9000
35	334	8957
36	345	8985
37	353	8957
38	362	8924
39	371	8921
40	379	8881
41	389	8883
42	397	8846
43	408	8876
44	418	8890
45	427	8873
46	437	8868
47	445	8841
48	455	8841
49	463	8809
50	473	8814
51	481	8779
52	493	8813
53	504	8829
54	514	8831
55	525	8858
56	534	8840
57	543	8825
58	553	8823
59	561	8791
60	570	8788
61	578	8755
62	588	8760
63	597	8743
64	606	8728
65	615	8709
66	623	8685
67	632	8665
68	641	8659
69	651	8658
70	661	8654
71	672	8662
72	679	8633
73	688	8620
74	697	8606
75	706	8586
76	715	8582
77	724	8564
78	735	8573
79	743	8555
80	756	8584
81	767	8593
82	775	8566
83	785	8565
84	793	8541
85	803	8543
86	813	8541
87	821	8517
88	830	8502
89	839	8486
90	849	8481
91	857	8460
92	866	8453
93	874	8430
94	883	8420
95	891	8399
96	902	8402
97	913	8403
98	920	8381
99	932	8392
100	943	8394
101	952	8386
102	962	8383
103	970	8363
104	980	8355
105	988	8335
106	998	8337
107	1008	8330
108	1016	8313
109	1025	8299
110	1036	8303
111	1048	8312
112	1056	8292
113	1065	8280
114	1074	8267
115	1083	8253
116	1092	8246
117	1101	8233
118	1111	8227
119	1118	8205
120	1128	8196
121	1136	8176
122	1145	8168
123	1153	8150
124	1166	8167
125	1177	8169
126	1186	8156
127	1198	8163
128	1209	8167
129	1218	8154
130	1229	8154
131	1238	8144
132	1248	8137
133	1257	8125
134	1266	8118
135	1277	8113
136	1285	8094
137	1295	8090
138	1304	8077
139	1313	8066
140	1323	8063
141	1331	8044
142	1341	8037
143	1349	8019
144	1358	8013
145	1367	7996
146	1377	7995
147	1386	7983
148	1395	7968
149	1404	7960
150	1412	7941
151	1422	7934
152	1430	7919
153	1440	7911
154	1451	7910
155	1460	7902
156	1469	7889
157	1478	7879
158	1488	7873
159	1496	7858
160	1507	7854
161	1517	7849
162	1525	7834
163	1535	7825
164	1543	7812
165	1553	7807
166	1563	7801
167	1573	7794
168	1582	7781
169	1591	7770
170	1601	7762
171	1609	7749
172	1619	7741
173	1627	7725
174	1637	7720
175	1646	7706
176	1655	7696
177	1664	7684
178	1672	7672
179	1681	7661
180	1693	7660
181	1703	7655
182	1711	7639
183	1721	7632
184	1729	7620
185	1738	7607
186	1747	7596
187	1755	7582
188	1765	7576
189	1774	7565
190	1785	7562
191	1793	7546
192	1802	7535
193	1810	7521
194	1819	7512
195	1830	7508
196	1838	7492
197	1847	7484
198	1855	7469
199	1864	7459
200	1872	7445
201	1882	7437
202	1890	7423
203	1901	7420
204	1910	7407
205	1918	7394
206	1927	7385
207	1935	7371
208	1945	7363
209	1953	7348
210	1963	7343
211	1974	7340
212	1983	7329
213	1992	7318
214	2001	7308
215	2011	7302
216	2021	7293
217	2031	7287
218	2040	7276
219	2050	7268
220	2059	7259
221	2068	7248
222	2078	7242
223	2087	7230
224	2114	7281
225	2123	7270
226	2132	7262
227	2142	7256
228	2150	7241
229	2161	7234
230	2169	7220
231	2178	7210
232	2187	7199
233	2196	7188
234	2204	7176
235	2216	7174
236	2226	7168
237	2234	7153
238	2243	7143
239	2251	7129
240	2260	7118
241	2268	7105
242	2277	7093
243	2286	7083
244	2295	7072
245	2305	7066
246	2313	7053
247	2324	7047
248	2332	7036
249	2342	7027
250	2351	7015
251	2359	7003
252	2368	6993
253	2376	6980
254	2386	6971
255	2394	6957
256	2403	6949
